x	E1681
141.833	0.992275
141.983	0.987257
142.133	0.983464
142.283	0.980902
142.433	0.979487
142.583	0.979155
142.733	0.979941
142.883	0.98197
143.033	0.985386
143.183	0.990223
143.333	0.996251
143.483	1.00287
143.633	1.00922
143.783	1.01429
143.933	1.01718
144.083	1.01737
144.233	1.01486
144.383	1.01016
144.533	1.00412
144.683	0.997688
144.833	0.99169
144.983	0.986688
145.133	0.982912
145.283	0.980365
145.433	0.978958
145.583	0.97863
145.733	0.979413
145.883	0.981432
146.033	0.984833
146.183	0.989647
146.333	0.995655
146.483	1.00227
146.633	1.00861
146.783	1.01367
146.933	1.01655
147.083	1.01673
147.233	1.01423
147.383	1.00954
147.533	1.00351
147.683	0.997101
147.833	0.991129
147.983	0.986139
148.133	0.982371
148.283	0.979837
148.433	0.978439
148.583	0.978114
148.733	0.978894
148.883	0.980905
149.033	0.984291
149.183	0.989086
149.333	0.99507
149.483	1.00167
149.633	1.00802
149.783	1.01308
149.933	1.01595
150.083	1.01613
150.233	1.01363
150.383	1.00894
150.533	1.00292
150.683	0.996535
150.833	0.990586
150.983	0.98562
151.133	0.981864
151.283	0.979325
151.433	0.97793
151.583	0.977608
151.733	0.978385
151.883	0.980388
152.033	0.983761
152.183	0.988539
152.333	0.994502
152.383	0.996649
152.453	0.999727
152.539	1.00348
152.638	1.00757
152.747	1.01136
152.864	1.01434
152.988	1.01571
153.117	1.01516
153.25	1.01258
153.386	1.00822
153.526	1.00266
153.667	0.996641
153.81	0.990889
153.955	0.985941
154.1	0.982075
154.247	0.979353
154.394	0.977721
154.542	0.97712
154.69	0.977564
154.839	0.979164
154.987	0.982076
155.136	0.986389
155.286	0.991985
155.385	0.996207
155.495	1.00103
155.613	1.006
155.737	1.01052
155.866	1.01379
156	1.01517
156.137	1.01433
156.276	1.01129
156.418	1.00647
156.561	1.00061
156.705	0.994509
156.851	0.988875
156.998	0.984185
157.145	0.980641
157.293	0.978251
157.441	0.976938
157.589	0.976654
157.738	0.977449
157.887	0.979466
158.037	0.982839
158.186	0.987603
158.336	0.993535
158.385	0.995683
158.455	0.998753
158.541	1.00248
158.64	1.0065
158.749	1.01032
158.866	1.01318
158.99	1.01454
159.119	1.014
159.252	1.01141
159.389	1.00705
159.528	1.00149
159.669	0.995493
159.813	0.989779
159.957	0.984873
160.103	0.981046
160.249	0.978361
160.396	0.97676
160.544	0.97618
160.692	0.976637
160.841	0.978242
160.99	0.981153
161.139	0.985457
161.288	0.991033
161.395	0.995565
161.509	1.00055
161.63	1.00559
161.757	1.01004
161.889	1.01306
162.024	1.01407
162.163	1.01281
162.303	1.00939
162.446	1.00431
162.59	0.99835
162.735	0.992302
162.881	0.986853
163.028	0.982412
163.175	0.97913
163.324	0.976984
163.472	0.975892
163.621	0.975833
163.77	0.976869
163.919	0.979137
164.068	0.982778
164.218	0.987784
164.367	0.993869
164.517	1.00039
164.667	1.00646
164.816	1.01107
164.966	1.01339
165.116	1.013
165.266	1.01001
165.416	1.00498
165.566	0.99887
165.716	0.992593
165.866	0.986917
166.016	0.982296
166.166	0.978889
166.316	0.976662
166.466	0.975518
166.616	0.97541
166.766	0.976397
166.916	0.978624
167.066	0.982245
167.216	0.987239
167.366	0.993319
167.516	0.999842
167.666	1.00591
167.816	1.01052
167.966	1.01284
168.116	1.01246
168.266	1.00948
168.416	1.0045
168.566	0.998412
168.716	0.992138
168.866	0.986471
169.016	0.981863
169.166	0.978468
169.316	0.976251
169.466	0.975114
169.616	0.975008
169.766	0.975992
169.916	0.978209
170.066	0.981803
170.216	0.986781
170.366	0.992852
170.516	0.999366
170.666	1.00542
170.816	1.01002
170.966	1.01233
171.116	1.01195
171.266	1.00897
171.416	1.004
171.566	0.997932
171.716	0.991683
171.866	0.986027
172.016	0.981431
172.166	0.97805
172.316	0.975844
172.466	0.974713
172.616	0.974609
172.766	0.97559
172.916	0.977799
173.066	0.98138
173.216	0.986338
173.366	0.992398
173.516	0.99891
173.666	1.00496
173.816	1.00955
173.966	1.01185
174.116	1.01146
174.266	1.00848
174.416	1.00352
174.566	0.997467
174.716	0.991239
174.866	0.985602
175.016	0.981011
175.166	0.977638
175.316	0.975441
175.466	0.974317
175.616	0.974215
175.766	0.975193
175.916	0.977395
176.066	0.980964
176.216	0.985905
176.366	0.991944
176.516	0.998445
176.666	1.00452
176.816	1.00911
176.966	1.0114
177.116	1.011
177.266	1.00802
177.416	1.00306
177.566	0.997021
177.716	0.990809
177.866	0.985192
178.016	0.980621
178.166	0.977251
178.316	0.975046
178.466	0.973927
178.616	0.973826
178.766	0.974802
178.916	0.976997
179.066	0.980556
179.216	0.985484
179.366	0.991505
179.516	0.997984
179.666	1.00403
179.816	1.00864
179.966	1.01098
180.116	1.01057
180.266	1.00759
180.416	1.00263
180.566	0.996593
180.716	0.990393
180.866	0.984792
181.016	0.980238
181.166	0.976884
181.316	0.974691
181.466	0.973559
181.616	0.973445
181.766	0.974418
181.916	0.976608
182.066	0.980158
182.216	0.985073
182.366	0.99108
182.416	0.993219
182.483	0.996133
182.567	0.999678
182.664	1.00348
182.771	1.00701
182.887	1.00958
183.01	1.01061
183.139	1.00979
183.271	1.00699
183.407	1.00253
183.546	0.996989
183.687	0.991125
183.83	0.985625
183.975	0.980969
184.12	0.977387
184.266	0.974906
184.414	0.973468
184.561	0.973011
184.709	0.97356
184.858	0.97524
185.007	0.978212
185.156	0.98256
185.305	0.988141
185.419	0.992946
185.539	0.998099
185.665	1.00309
185.796	1.00721
185.93	1.00973
186.068	1.01009
186.208	1.00814
186.351	1.00413
186.494	0.998717
186.639	0.99271
186.785	0.986896
186.932	0.981866
187.079	0.977923
187.227	0.975129
187.376	0.973418
187.524	0.972707
187.673	0.972996
187.822	0.974384
187.972	0.977033
188.121	0.981061
188.271	0.986391
188.421	0.99263
188.57	0.999039
188.72	1.00463
188.87	1.00844
189.02	1.00979
189.17	1.00844
189.319	1.0047
189.469	0.999287
189.619	0.993136
189.769	0.98712
189.919	0.981896
190.069	0.977797
190.219	0.974893
190.369	0.973121
190.519	0.972372
190.669	0.972632
190.819	0.973996
190.969	0.976624
191.119	0.980633
191.269	0.985947
191.419	0.992174
191.569	0.998578
191.719	1.0042
191.869	1.00806
192.019	1.00941
192.169	1.00806
192.319	1.00432
192.469	0.998913
192.619	0.992769
192.769	0.986765
192.919	0.981555
193.069	0.97747
193.219	0.974575
193.369	0.972792
193.519	0.972036
193.669	0.972295
193.819	0.973656
193.969	0.976278
194.119	0.980277
194.269	0.985579
194.419	0.991791
194.569	0.998175
194.719	1.00378
194.869	1.00764
195.019	1.00903
195.169	1.0077
195.319	1.00395
195.469	0.998544
195.619	0.992405
195.769	0.986412
195.919	0.981216
196.069	0.977145
196.219	0.974263
196.369	0.972489
196.519	0.971729
196.669	0.97197
196.819	0.973321
196.969	0.975938
197.119	0.97993
197.269	0.985222
