x	E1681
82.5	0.993304
82.6488	0.997005
82.7978	1.00159
82.947	1.00705
83.011	1.00965
83.0923	1.01318
83.1872	1.01765
83.2932	1.02308
83.408	1.02945
83.5	1.03491
83.6248	1.03524
83.7546	1.03551
83.8885	1.03573
84	1.03589
84.1397	1.02821
84.2814	1.02096
84.4248	1.01427
84.5695	1.00815
84.7153	1.00263
84.8619	0.997713
85	0.993651
85.1478	0.993184
85.2961	0.9928
85.4447	0.992464
85.5	0.992345
85.6491	0.996022
85.7984	1.00058
85.9478	1.00603
86.0191	1.00892
86.106	1.01272
86.2056	1.01746
86.3153	1.02314
86.433	1.02976
86.4872	1.03298
86.5	1.03375
86.5815	1.034
86.6767	1.03422
86.7828	1.03442
86.8977	1.03461
87	1.03476
87.1275	1.02775
87.2596	1.02096
87.3952	1.01455
87.5337	1.00859
87.6745	1.00312
87.8172	0.99819
87.9613	0.993808
88	0.992738
88.1462	0.992274
88.2932	0.991891
88.4408	0.991556
88.5	0.991429
88.6485	0.995055
88.7972	0.999563
88.9462	1.00495
89.0244	1.00811
89.1169	1.01218
89.2209	1.01716
89.3342	1.02308
89.4375	1.02892
89.4524	1.02979
89.4739	1.03107
89.5	1.03264
89.5677	1.03285
89.6519	1.03306
89.7493	1.03326
89.8572	1.03345
89.9735	1.03362
90	1.03366
90.1284	1.02663
90.2612	1.01983
90.3974	1.01343
90.5363	1.00749
90.6775	1.00205
90.8204	0.997152
90.9648	0.992807
91	0.991844
91.1464	0.991379
91.2935	0.990996
91.4412	0.990661
91.5	0.990534
91.6485	0.994131
91.7973	0.99861
91.9464	1.00397
92.0388	1.00772
92.1427	1.01235
92.2558	1.01789
92.3763	1.02436
92.447	1.02841
92.5	1.03157
92.5992	1.03186
92.7086	1.0321
92.8261	1.03232
92.9501	1.03252
93	1.03259
93.1334	1.02532
93.2701	1.01838
93.4094	1.0119
93.5509	1.00594
93.6941	1.00052
93.8386	0.995667
93.9843	0.991392
94	0.99097
94.1472	0.990504
94.295	0.99012
94.4432	0.989785
94.5	0.989663
94.6489	0.993239
94.7979	0.997699
94.9472	1.00304
95.0397	1.00678
95.1437	1.0114
95.2569	1.01693
95.3775	1.02339
95.4533	1.02774
95.5	1.03051
95.6026	1.03081
95.7146	1.03107
95.8342	1.03129
95.9599	1.03149
96	1.03155
96.1345	1.02424
96.272	1.01729
96.4121	1.01082
96.5541	1.00487
96.6977	0.99948
96.8426	0.994664
96.9886	0.990427
97	0.990123
97.1474	0.989657
97.2953	0.989273
97.4436	0.988939
97.5	0.988817
97.6489	0.992365
97.7981	0.996799
97.9474	1.00212
98.047	1.00615
98.1567	1.01104
98.2745	1.01685
98.3987	1.02359
98.4662	1.02748
98.5	1.0295
98.5954	1.02978
98.7017	1.03003
98.8168	1.03025
98.9388	1.03045
99	1.03054
99.1321	1.02338
99.2678	1.01654
99.4063	1.01014
99.5472	1.00424
99.6899	0.998883
99.834	0.994086
99.9793	0.989858
100	0.989309
100.147	0.988844
100.295	0.98846
100.443	0.988126
100.5	0.988003
100.649	0.991517
100.798	0.995917
100.947	1.0012
101.054	1.00551
101.169	1.01069
101.291	1.01677
101.419	1.02378
101.473	1.0269
101.5	1.02851
101.581	1.02876
101.676	1.029
101.782	1.02921
101.897	1.02941
102	1.02957
102.127	1.02268
102.259	1.01602
102.395	1.00974
102.533	1.00392
102.674	0.998592
102.817	0.993803
102.961	0.989565
103	0.988525
103.146	0.98806
103.293	0.987678
103.441	0.987344
103.5	0.987217
103.648	0.990694
103.797	0.995055
103.946	1.0003
104.06	1.00489
104.181	1.01034
104.308	1.0167
104.439	1.02397
104.48	1.02635
104.5	1.02756
104.572	1.02779
104.659	1.02801
104.759	1.02822
104.869	1.02842
104.987	1.02861
105	1.02863
105.129	1.02165
105.263	1.01494
105.4	1.00865
105.539	1.00283
105.681	0.997524
105.824	0.99277
105.969	0.988575
106	0.987758
106.147	0.987292
106.294	0.986909
106.442	0.986575
106.5	0.98645
106.649	0.989903
106.797	0.994241
106.947	0.999466
107.067	1.00434
107.193	1.01005
107.324	1.01666
107.459	1.02419
107.5	1.02663
107.639	1.02702
107.78	1.02732
107.923	1.02757
108	1.0277
108.145	1.0199
108.292	1.01268
108.439	1.0061
108.587	1.00016
108.735	0.994861
108.883	0.990206
109	0.986999
109.149	0.986528
109.298	0.986142
109.448	0.985807
109.5	0.985695
109.65	0.989149
109.799	0.993494
109.949	0.998729
110.07	1.00362
110.197	1.00937
110.329	1.01603
110.464	1.02361
110.5	1.02572
110.639	1.02612
110.781	1.02642
110.924	1.02667
111	1.0268
111.146	1.01901
111.292	1.01181
111.439	1.00525
111.587	0.999328
111.736	0.994061
111.884	0.989433
112	0.986269
112.149	0.985798
112.298	0.985412
112.448	0.985078
112.5	0.984966
112.65	0.988394
112.799	0.992714
112.949	0.997925
113.078	1.0031
113.21	1.00915
113.346	1.01611
113.485	1.02398
113.5	1.02484
113.642	1.02524
113.786	1.02555
113.931	1.02581
114	1.02592
114.147	1.01811
114.294	1.01089
114.442	1.00434
114.59	0.998434
114.739	0.993191
114.888	0.988594
115	0.985564
115.149	0.985092
115.299	0.984707
115.448	0.984372
115.5	0.984261
115.65	0.987667
115.799	0.991964
115.949	0.997154
116.085	1.00262
116.223	1.00895
116.363	1.01619
116.493	1.0236
116.5	1.02399
116.627	1.02436
116.759	1.02466
